# Error, Accuracy
1.786810018982860626e+01,0.000000000000000000e+00
1.465052746476114187e+01,0.000000000000000000e+00
1.074352217544524457e+01,5.999999999999999778e-01
8.088290393558541069e+00,5.999999999999999778e-01
7.615314216074846598e+00,5.999999999999999778e-01
7.430051827632390804e+00,5.999999999999999778e-01
7.316416144581776138e+00,5.999999999999999778e-01
6.828533161870615764e+00,5.999999999999999778e-01
6.733463408793405769e+00,5.999999999999999778e-01
6.185991417827509942e+00,5.999999999999999778e-01
6.328270671374028211e+00,6.666666666666666297e-01
5.267822683484615354e+00,7.333333333333332815e-01
5.790416425669369538e+00,5.999999999999999778e-01
6.207012881205547394e+00,5.999999999999999778e-01
6.278008290281053227e+00,7.333333333333332815e-01
4.682165043600554633e+00,9.000000000000000222e-01
4.896958261780958388e+00,8.000000000000000444e-01
4.914577222075490859e+00,8.000000000000000444e-01
4.397352782077488698e+00,7.333333333333332815e-01
4.397981596995367504e+00,8.000000000000000444e-01
5.300442201838762024e+00,7.666666666666667185e-01
2.964698055488952377e+00,9.000000000000000222e-01
3.797304786538970856e+00,5.999999999999999778e-01
4.292884454406021177e+00,6.666666666666666297e-01
3.979419869151945122e+00,5.999999999999999778e-01
7.347197910506729990e+00,8.000000000000000444e-01
5.012063226424278817e+00,7.333333333333332815e-01
4.260087282590923508e+00,9.000000000000000222e-01
7.646794190669836233e+00,5.999999999999999778e-01
7.587932473863730820e+00,5.999999999999999778e-01
7.577889986916496845e+00,5.999999999999999778e-01
7.570619123626511460e+00,5.999999999999999778e-01
7.564757983096111360e+00,5.999999999999999778e-01
7.559614363701140149e+00,5.999999999999999778e-01
7.554327425066937884e+00,5.999999999999999778e-01
7.544619127415571391e+00,5.999999999999999778e-01
5.390321765248870634e+00,9.666666666666666741e-01
2.261664002145628238e+00,9.666666666666666741e-01
1.599145730146208644e+00,9.666666666666666741e-01
2.521964966292143284e+00,6.999999999999999556e-01
6.684154776574438017e+00,9.666666666666666741e-01
2.226367944353186967e+00,9.333333333333333481e-01
1.765306394213708829e+00,9.666666666666666741e-01
1.928078654172975748e+00,6.999999999999999556e-01
5.413628290195344306e+00,6.999999999999999556e-01
6.716867339422306848e+00,5.999999999999999778e-01
