# Error, Accuracy
1.360442127339755736e+01,0.000000000000000000e+00
1.360437491691047818e+01,0.000000000000000000e+00
1.360432698766931203e+01,0.000000000000000000e+00
1.360427739354004650e+01,0.000000000000000000e+00
1.360422603517069895e+01,0.000000000000000000e+00
1.360417280525333439e+01,0.000000000000000000e+00
1.360411758769305202e+01,0.000000000000000000e+00
1.360406025666954122e+01,0.000000000000000000e+00
1.360400067557483972e+01,0.000000000000000000e+00
1.360393869580751591e+01,0.000000000000000000e+00
1.360387415539993050e+01,0.000000000000000000e+00
1.360380687745060335e+01,0.000000000000000000e+00
1.360373666832906991e+01,0.000000000000000000e+00
1.360366331561248820e+01,0.000000000000000000e+00
1.360358658570665291e+01,0.000000000000000000e+00
1.360350622109257479e+01,0.000000000000000000e+00
1.360342193712815195e+01,0.000000000000000000e+00
1.360333341831798926e+01,0.000000000000000000e+00
1.360324031394443978e+01,0.000000000000000000e+00
1.360314223292864000e+01,0.000000000000000000e+00
1.360303873775661287e+01,0.000000000000000000e+00
1.360292933726603515e+01,0.000000000000000000e+00
1.360281347803430840e+01,0.000000000000000000e+00
1.360269053404053352e+01,0.000000000000000000e+00
1.360255979418219852e+01,0.000000000000000000e+00
1.360242044710721920e+01,0.000000000000000000e+00
1.360227156266118165e+01,0.000000000000000000e+00
1.360211206903316672e+01,0.000000000000000000e+00
1.360194072438781809e+01,0.000000000000000000e+00
1.360175608136585801e+01,0.000000000000000000e+00
1.360155644226932914e+01,0.000000000000000000e+00
1.360133980194951953e+01,0.000000000000000000e+00
1.360110377427593598e+01,0.000000000000000000e+00
1.360084549640929374e+01,0.000000000000000000e+00
1.360056150266379404e+01,0.000000000000000000e+00
1.360024755608693603e+01,0.000000000000000000e+00
1.359989842029754392e+01,0.000000000000000000e+00
1.359950754540416007e+01,0.000000000000000000e+00
1.359906662790866783e+01,0.000000000000000000e+00
1.359856498171071593e+01,0.000000000000000000e+00
1.359798861894348221e+01,0.000000000000000000e+00
1.359731887262558381e+01,0.000000000000000000e+00
1.359653027281475879e+01,0.000000000000000000e+00
1.359558716206108819e+01,0.000000000000000000e+00
1.359443809135530934e+01,0.000000000000000000e+00
1.359300611341629939e+01,0.000000000000000000e+00
1.359117104042227631e+01,0.000000000000000000e+00
1.358873482436530189e+01,0.000000000000000000e+00
1.358534831144403476e+01,0.000000000000000000e+00
1.358033954648831099e+01,0.000000000000000000e+00
1.357225413466734665e+01,0.000000000000000000e+00
1.355739200684880252e+01,0.000000000000000000e+00
1.352411128398460960e+01,0.000000000000000000e+00
1.343067588694970738e+01,0.000000000000000000e+00
1.317516407663180011e+01,0.000000000000000000e+00
1.267164193075178424e+01,0.000000000000000000e+00
1.197196355163860204e+01,0.000000000000000000e+00
1.122109056890571566e+01,2.666666666666666630e-01
1.053754629419338329e+01,5.333333333333333259e-01
9.965608860177963990e+00,6.999999999999999556e-01
9.503776040790842927e+00,6.999999999999999556e-01
9.134709939410624813e+00,6.999999999999999556e-01
8.839172772460111460e+00,6.999999999999999556e-01
8.600592504682994743e+00,6.999999999999999556e-01
8.405868731972022445e+00,6.999999999999999556e-01
8.244976407294137388e+00,6.999999999999999556e-01
8.110321321876577727e+00,6.999999999999999556e-01
7.996149577562763788e+00,6.999999999999999556e-01
7.898079574293078053e+00,6.999999999999999556e-01
7.812750960562350855e+00,6.999999999999999556e-01
7.737566967909498494e+00,6.999999999999999556e-01
7.670506403509944171e+00,6.999999999999999556e-01
7.609986054600264005e+00,6.999999999999999556e-01
7.554759095902368493e+00,6.999999999999999556e-01
7.503839109412477448e+00,6.999999999999999556e-01
7.456442355280324286e+00,6.999999999999999556e-01
7.411943113206995726e+00,6.999999999999999556e-01
7.369838467937477766e+00,6.999999999999999556e-01
7.329720056208110179e+00,6.999999999999999556e-01
